Membership No  Date Joined  Active  
    71671      2018-5-16    yes   
    68793      2015-6-20    yes   
    68603      2020-9-6     no    
    49153      2017-5-12    no    
    48386      2018-11-14   no    
    28174      2015-1-10    no    
    21912      2018-7-22    yes   
    43975      2016-12-3    yes   
    62724      2016-3-10    no    
    39670      2018-5-9     no    
    99162      2016-11-19   yes   
    23521      2017-9-6     no    
    20478      2018-12-1    yes   
    62369      2019-7-21    yes   
    81032      2017-10-3    no    
    25894      2019-6-24    no    
    43173      2016-6-23    no    
    28519      2019-9-9     yes   
    57066      2016-10-10   no    
    76994      2020-4-3     yes   
