Membership No  Date Joined  Active  
    15833      2015-4-7     no    
    57867      2015-7-20    no    
    82833      2019-12-5    no    
    78946      2019-5-18    yes   
    26685      2015-9-9     no    
    44888      2019-11-8    no    
    41190      2019-1-17    no    
    74287      2016-6-3     yes   
    24060      2020-1-7     yes   
    27831      2017-4-18    no    
    60865      2019-9-2     no    
    16646      2018-6-16    yes   
    13410      2016-3-7     no    
    71771      2020-9-23    yes   
    89363      2015-5-25    yes   
    55799      2019-7-15    no    
    48128      2015-7-25    no    
    47323      2016-6-24    no    
    67459      2017-4-17    yes   
    73838      2017-12-18   yes   
