Membership No  Date Joined  Active  
    39531      2016-12-14   no    
    31773      2017-5-14    no    
    23983      2016-12-10   no    
    43738      2019-1-23    no    
    65893      2015-2-22    no    
    87091      2015-5-2     no    
    18903      2015-2-1     no    
    39088      2018-11-16   no    
    35760      2019-3-15    no    
    21059      2016-5-12    no    
    70334      2016-7-13    no    
    23278      2018-4-25    no    
    41521      2020-6-24    no    
    73425      2015-5-17    no    
