Membership No  Date Joined  Active  
    19146      2019-8-15    no    
    66717      2020-5-18    no    
    92442      2015-12-19   no    
    55919      2020-8-2     no    
    62895      2015-2-9     no    
    30676      2015-12-13   no    
    13563      2020-1-7     no    
    27568      2019-12-10   no    
    59043      2016-9-15    no    
    62099      2015-7-3     no    
    89694      2016-7-10    no    
    11054      2017-7-6     no    
    17560      2018-7-10    no    
    48331      2019-9-15    no    
